,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image
0,15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Turtle Check Men Navy Blue Shirt,15970.jpg
2,59263,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Titan Women Silver Watch,59263.jpg
4,53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Puma Men Grey T-shirt,53759.jpg
5,1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Inkfruit Mens Chain Reaction T-shirt,1855.jpg
6,30805,Men,Apparel,Topwear,Shirts,Green,Summer,2012.0,Ethnic,Fabindia Men Striped Green Shirt,30805.jpg
7,26960,Women,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Casual,Jealous 21 Women Purple Shirt,26960.jpg
9,30039,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Skagen Men Black Watch,30039.jpg
10,9204,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011.0,Casual,Puma Men Future Cat Remix SF Black Casual Shoes,9204.jpg
13,47957,Women,Accessories,Bags,Handbags,Blue,Summer,2012.0,Casual,Murcia Women Blue Handbag,47957.jpg
15,12369,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Formal,Reid & Taylor Men Check Purple Shirts,12369.jpg
16,29928,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Police Men Black Dial Watch PL12889JVSB,29928.jpg
17,42419,Girls,Apparel,Topwear,Tops,White,Summer,2012.0,Casual,Gini and Jony Girls Knit White Top,42419.jpg
19,47359,Women,Accessories,Bags,Handbags,Brown,Summer,2012.0,Casual,Baggit Women Brown Handbag,47359.jpg
20,17429,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,17429.jpg
27,7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Sports,Fila Men's Round Neck Navy Blue T-shirt,7990.jpg
29,21977,Women,Accessories,Bags,Handbags,Brown,Winter,2015.0,Casual,Murcia Women Casual Brown Handbag,21977.jpg
30,37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Formal,John Players Men Navy Blue Shirt,37812.jpg
31,4729,Boys,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,4729.jpg
32,56825,Men,Apparel,Topwear,Shirts,Brown,Summer,2012.0,Casual,John Players Men Brown Shirt,56825.jpg
33,39988,Men,Footwear,Shoes,Casual Shoes,White,Winter,2014.0,Casual,Gas Men Europa White Shoes,39988.jpg
35,20099,Women,Apparel,Topwear,Kurtas,Green,Fall,2011.0,Ethnic,Diva Women Embroided Green Kurta,20099.jpg
36,58183,Women,Accessories,Bags,Handbags,White,Summer,2012.0,Casual,Rocky S Women White Handbag,58183.jpg
37,29742,Women,Accessories,Bags,Handbags,Teal,Summer,2012.0,Casual,Kiara Women Teal Handbag,29742.jpg
38,51658,Women,Accessories,Watches,Watches,Copper,Winter,2016.0,Casual,Fossil Women Copper Chronograph Watch CH2589,51658.jpg
39,3954,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,Jealous 21 Women's Pink T-shirt,3954.jpg
42,23278,Men,Accessories,Watches,Watches,Off White,Winter,2016.0,Casual,Maxima Ssteele Men Off White Watch,23278.jpg
43,28690,Women,Apparel,Topwear,Kurtas,Beige,Summer,2012.0,Ethnic,W Women Printed Beige Kurta,28690.jpg
45,3168,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010.0,Sports,Nike Men's Incinerate MSL White Blue Shoe,3168.jpg
48,9452,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Formal,John Miller Men Stripes White Red Shirts,9452.jpg
50,44984,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Maxima Women White Dial Watch,44984.jpg
52,45856,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012.0,Ethnic,Vishudh Women Brown Kurta,45856.jpg
55,5891,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Puma Men's Stripe Polo Black T-shirt,5891.jpg
56,38630,Women,Apparel,Topwear,Tshirts,Purple,Summer,2012.0,Casual,Nike Women Purple Polo T-shirt,38630.jpg
57,4943,Men,Apparel,Topwear,Shirts,White,Summer,2011.0,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear,4943.jpg
58,11188,Men,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Carrera Men Dial steel finish strap Silver Watches,11188.jpg
59,10866,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Wrangler Men Motor Rider Red T-Shirts,10866.jpg
61,15528,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Puma Men Scribble Black Tshirts,15528.jpg
62,45258,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,45258.jpg
63,42841,Women,Accessories,Bags,Handbags,Beige,Summer,2012.0,Casual,French Connection Women Beige Handbag,42841.jpg
64,22198,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2012.0,Casual,Timberland Men Black Casual Shoes,22198.jpg
65,29570,Men,Footwear,Shoes,Casual Shoes,Purple,Summer,2012.0,Casual,Vans Men Classic Slip-On Purple & Black Shoes,29570.jpg
67,6628,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,ADIDAS Men's Lowell White Silver Shoe,6628.jpg
69,26538,Men,Footwear,Shoes,Casual Shoes,Red,Fall,2012.0,Casual,ID Men Red Shoes,26538.jpg
70,35913,Women,Accessories,Bags,Handbags,Black,Summer,2012.0,Casual,Peperone Women Black & White Handbag,35913.jpg
71,49495,Men,Footwear,Shoes,Casual Shoes,Khaki,Summer,2012.0,Casual,Vans Men Khaki Shoes,49495.jpg
72,9660,Men,Apparel,Topwear,Shirts,Pink,Fall,2011.0,Casual,Indigo Nation Men Reversible Bling Pink Shirts,9660.jpg
73,2288,Women,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Sports,Nike Women Black T-shirt,2288.jpg
76,54118,Women,Footwear,Shoes,Heels,Black,Winter,2012.0,Casual,Rocia Women Black Flats,54118.jpg
77,2872,Women,Footwear,Shoes,Heels,Brown,Winter,2015.0,Casual,Catwalk Women Leather Flats,2872.jpg
78,49653,Women,Apparel,Topwear,Tops,Green,Summer,2012.0,Casual,Mineral Women Green Top,49653.jpg
80,16957,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Image Men Sunglasses,16957.jpg
86,44970,Men,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Maxima Men White Dial Analog Chronograph Watch,44970.jpg
89,33822,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Puma Men Axis White & Grey Sports Shoes,33822.jpg
90,58513,Women,Apparel,Topwear,Tops,Off White,Summer,2012.0,Casual,Tonga Women Maroon Top,58513.jpg
101,34009,Girls,Apparel,Topwear,Tops,Black,Summer,2012.0,Casual,Gini and Jony Girls Black Top,34009.jpg
102,19311,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011.0,Casual,Nike Men Air Rift MTR White Casual Shoe,19311.jpg
103,42089,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,ADIDAS Men White Corona Sports Shoes,42089.jpg
105,49461,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,2012.0,Casual,Vans Men Blue Era Scilla Plaid Shoes,49461.jpg
108,23882,Men,Footwear,Shoes,Sports Shoes,Grey,Fall,2011.0,Sports,Fila Men Destiny Grey Sports Shoes,23882.jpg
109,34835,Men,Footwear,Shoes,Sports Shoes,Blue,Summer,2012.0,Sports,ADIDAS Men Blue Chill Sports Shoes,34835.jpg
110,15984,Men,Apparel,Topwear,Shirts,Yellow,Fall,2011.0,Casual,Turtle Check Men Yellow Shirt,15984.jpg
112,11518,Women,Footwear,Shoes,Heels,Grey,Winter,2015.0,Casual,Catwalk Women Gun Metal Grey Heels,11518.jpg
120,31923,Women,Accessories,Bags,Handbags,Blue,Summer,2012.0,Casual,Fabindia Women Blue Silk Sling Bag,31923.jpg
122,54588,Women,Apparel,Topwear,Kurtas,Green,Summer,2012.0,Ethnic,Sushilas Women Printed Green Kurta,54588.jpg
126,28200,Men,Accessories,Eyewear,Sunglasses,Copper,Winter,2016.0,Casual,Ray-Ban Men Active Lifestyle Copper Sunglasses,28200.jpg
127,12993,Unisex,Footwear,Shoes,Sports Shoes,Black,Fall,2011.0,Sports,ADIDAS Kids Adispeed Black Sports Shoes,12993.jpg
137,58177,Women,Accessories,Bags,Handbags,Brown,Summer,2012.0,Casual,Rocky S Women Brown Handbag,58177.jpg
147,42042,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Nike Men Air Relentless 2 MSL White Sports Shoes,42042.jpg
148,23849,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,ADIDAS Men Black Anzo Breeze Casual Shoes,23849.jpg
153,54127,Women,Footwear,Shoes,Heels,Black,Winter,2012.0,Casual,Rocia Women Black Heels,54127.jpg
155,24250,Men,Footwear,Shoes,Casual Shoes,White,Fall,2012.0,Casual,Numero Uno Men White Casual Shoes,24250.jpg
172,21510,Women,Accessories,Bags,Handbags,White,Winter,2015.0,Casual,Kiara Women Graphiti White Handbag,21510.jpg
173,51667,Men,Accessories,Eyewear,Sunglasses,Grey,Winter,2016.0,Casual,Louis Philippe Men Grey Sunglasses,51667.jpg
180,31782,Women,Apparel,Topwear,Tops,Blue,Summer,2012.0,Casual,Lee Women Paula Blue Top,31782.jpg
189,40143,Girls,Apparel,Topwear,Tops,Blue,Summer,2012.0,Casual,Gini and Jony Girls Pretty Blossom Blue Top,40143.jpg
191,24406,Women,Apparel,Topwear,Kurtas,Red,Summer,2012.0,Ethnic,Vishudh Women Red Printed Kurta,24406.jpg
193,21174,Women,Apparel,Topwear,Tops,Beige,Fall,2011.0,Casual,s.Oliver Women Stripes Beige Top,21174.jpg
